Position,Points,Rider,Team,Time/Gap,Grand Prix,Year,Event
,,,,,,2002.0,hun
1.0,ND,A. BarrosA. Barros,,47:22.404,Event hun,2002.0,hun
2.0,ND,V. RossiV. Rossi,,+0.230,Event hun,2002.0,hun
3.0,ND,M. BiaggiM. Biaggi,,+15.213,Event hun,2002.0,hun
4.0,ND,D. KatoD. Kato,,+22.504,Event hun,2002.0,hun
5.0,ND,T. UkawaT. Ukawa,,+35.165,Event hun,2002.0,hun
6.0,ND,S. NakanoS. Nakano,,+50.169,Event hun,2002.0,hun
7.0,ND,J. GoorberghJ. Goorbergh,,+63.814,Event hun,2002.0,hun
8.0,ND,J. McwilliamsJ. Mcwilliams,,+65.079,Event hun,2002.0,hun
9.0,ND,O. JacqueO. Jacque,,+68.312,Event hun,2002.0,hun
10.0,ND,N. AbeN. Abe,,+68.312,Event hun,2002.0,hun
11.0,ND,J. HopkinsJ. Hopkins,,+86.241,Event hun,2002.0,hun
12.0,ND,A. PittA. Pitt,,+87.427,Event hun,2002.0,hun
13.0,ND,S. GibernauS. Gibernau,,+0.000,Event hun,2002.0,hun
14.0,ND,T. HaradaT. Harada,,+0.000,Event hun,2002.0,hun
,ND,K. JrK. Jr,,24 Laps,Event hun,2002.0,hun
,ND,L. CapirossiL. Capirossi,,19 Laps,Event hun,2002.0,hun
,ND,D. GarciaD. Garcia,,13 Laps,Event hun,2002.0,hun
,ND,G. MccoyG. Mccoy,,6 Laps,Event hun,2002.0,hun
,ND,R. LaconiR. Laconi,,1 Laps,Event hun,2002.0,hun
,ND,N. AokiN. Aoki,,1 Laps,Event hun,2002.0,hun
,ND,J. CardosoJ. Cardoso,,,Event hun,2002.0,hun
,ND,C. ChecaC. Checa,,,Event hun,2002.0,hun
,,,,,,2002.0,aut
1.0,ND,A. BarrosA. Barros,,47:22.404,Event aut,2002.0,aut
2.0,ND,V. RossiV. Rossi,,+0.230,Event aut,2002.0,aut
3.0,ND,M. BiaggiM. Biaggi,,+15.213,Event aut,2002.0,aut
4.0,ND,D. KatoD. Kato,,+22.504,Event aut,2002.0,aut
5.0,ND,T. UkawaT. Ukawa,,+35.165,Event aut,2002.0,aut
