Position,Points,Rider,Team,Time/Gap,Grand Prix,Year,Event,Rider_normalized
,,,,,,2002.0,hun,
1.0,ND,A. BarrosA. Barros,,47:22.404,Event hun,2002.0,hun,Barrosa
2.0,ND,V. RossiV. Rossi,,+0.230,Event hun,2002.0,hun,Rossi
3.0,ND,M. BiaggiM. Biaggi,,+15.213,Event hun,2002.0,hun,Biaggim
4.0,ND,D. KatoD. Kato,,+22.504,Event hun,2002.0,hun,Katod
5.0,ND,T. UkawaT. Ukawa,,+35.165,Event hun,2002.0,hun,Ukawat
6.0,ND,S. NakanoS. Nakano,,+50.169,Event hun,2002.0,hun,Nakanos
7.0,ND,J. GoorberghJ. Goorbergh,,+63.814,Event hun,2002.0,hun,Goorberghj
8.0,ND,J. McwilliamsJ. Mcwilliams,,+65.079,Event hun,2002.0,hun,Mcwilliamsj
9.0,ND,O. JacqueO. Jacque,,+68.312,Event hun,2002.0,hun,Jacqueo
10.0,ND,N. AbeN. Abe,,+68.312,Event hun,2002.0,hun,Aben
11.0,ND,J. HopkinsJ. Hopkins,,+86.241,Event hun,2002.0,hun,Hopkinsj
12.0,ND,A. PittA. Pitt,,+87.427,Event hun,2002.0,hun,Pitta
13.0,ND,S. GibernauS. Gibernau,,+0.000,Event hun,2002.0,hun,Gibernaus
14.0,ND,T. HaradaT. Harada,,+0.000,Event hun,2002.0,hun,Haradat
,ND,K. JrK. Jr,,24 Laps,Event hun,2002.0,hun,Jrk
,ND,L. CapirossiL. Capirossi,,19 Laps,Event hun,2002.0,hun,Capirossil
,ND,D. GarciaD. Garcia,,13 Laps,Event hun,2002.0,hun,Garciad
,ND,G. MccoyG. Mccoy,,6 Laps,Event hun,2002.0,hun,Mccoyg
,ND,R. LaconiR. Laconi,,1 Laps,Event hun,2002.0,hun,Laconir
,ND,N. AokiN. Aoki,,1 Laps,Event hun,2002.0,hun,Aokin
,ND,J. CardosoJ. Cardoso,,,Event hun,2002.0,hun,Cardosoj
,ND,C. ChecaC. Checa,,,Event hun,2002.0,hun,Checac
,,,,,,2002.0,aut,
1.0,ND,A. BarrosA. Barros,,47:22.404,Event aut,2002.0,aut,Barrosa
2.0,ND,V. RossiV. Rossi,,+0.230,Event aut,2002.0,aut,Rossi
3.0,ND,M. BiaggiM. Biaggi,,+15.213,Event aut,2002.0,aut,Biaggim
4.0,ND,D. KatoD. Kato,,+22.504,Event aut,2002.0,aut,Katod
5.0,ND,T. UkawaT. Ukawa,,+35.165,Event aut,2002.0,aut,Ukawat
6.0,ND,S. NakanoS. Nakano,,+50.169,Event aut,2002.0,aut,Nakanos
7.0,ND,J. GoorberghJ. Goorbergh,,+63.814,Event aut,2002.0,aut,Goorberghj
8.0,ND,J. McwilliamsJ. Mcwilliams,,+65.079,Event aut,2002.0,aut,Mcwilliamsj
9.0,ND,O. JacqueO. Jacque,,+68.312,Event aut,2002.0,aut,Jacqueo
10.0,ND,N. AbeN. Abe,,+68.312,Event aut,2002.0,aut,Aben
11.0,ND,J. HopkinsJ. Hopkins,,+86.241,Event aut,2002.0,aut,Hopkinsj
12.0,ND,A. PittA. Pitt,,+87.427,Event aut,2002.0,aut,Pitta
13.0,ND,S. GibernauS. Gibernau,,+0.000,Event aut,2002.0,aut,Gibernaus
14.0,ND,T. HaradaT. Harada,,+0.000,Event aut,2002.0,aut,Haradat
,ND,K. JrK. Jr,,24 Laps,Event aut,2002.0,aut,Jrk
,ND,L. CapirossiL. Capirossi,,19 Laps,Event aut,2002.0,aut,Capirossil
,ND,D. GarciaD. Garcia,,13 Laps,Event aut,2002.0,aut,Garciad
,ND,G. MccoyG. Mccoy,,6 Laps,Event aut,2002.0,aut,Mccoyg
,ND,R. LaconiR. Laconi,,1 Laps,Event aut,2002.0,aut,Laconir
,ND,N. AokiN. Aoki,,1 Laps,Event aut,2002.0,aut,Aokin
,ND,J. CardosoJ. Cardoso,,,Event aut,2002.0,aut,Cardosoj
,ND,C. ChecaC. Checa,,,Event aut,2002.0,aut,Checac
,,,,,,2002.0,cze,
1.0,ND,M. BiaggiM. Biaggi,,44:36.498,Event cze,2002.0,cze,Biaggim
2.0,ND,D. KatoD. Kato,,+2.755,Event cze,2002.0,cze,Katod
3.0,ND,T. UkawaT. Ukawa,,+7.598,Event cze,2002.0,cze,Ukawat
4.0,ND,S. GibernauS. Gibernau,,+11.889,Event cze,2002.0,cze,Gibernaus
5.0,ND,C. ChecaC. Checa,,+14.029,Event cze,2002.0,cze,Checac
6.0,ND,L. CapirossiL. Capirossi,,+18.260,Event cze,2002.0,cze,Capirossil
7.0,ND,J. McwilliamsJ. Mcwilliams,,+24.840,Event cze,2002.0,cze,Mcwilliamsj
8.0,ND,N. AbeN. Abe,,+26.572,Event cze,2002.0,cze,Aben
9.0,ND,A. BarrosA. Barros,,+28.741,Event cze,2002.0,cze,Barrosa
10.0,ND,O. JacqueO. Jacque,,+29.156,Event cze,2002.0,cze,Jacqueo
11.0,ND,K. JrK. Jr,,+32.920,Event cze,2002.0,cze,Jrk
12.0,ND,J. GoorberghJ. Goorbergh,,+38.670,Event cze,2002.0,cze,Goorberghj
13.0,ND,G. MccoyG. Mccoy,,+45.144,Event cze,2002.0,cze,Mccoyg
14.0,ND,A. RyoA. Ryo,,+51.932,Event cze,2002.0,cze,Ryoa
15.0,ND,T. HaradaT. Harada,,+62.171,Event cze,2002.0,cze,Haradat
16.0,ND,R. LaconiR. Laconi,,+62.238,Event cze,2002.0,cze,Laconir
17.0,ND,S. GuintoliS. Guintoli,,+73.465,Event cze,2002.0,cze,Guintolis
,ND,V. RossiV. Rossi,,20 Laps,Event cze,2002.0,cze,Rossi
,ND,J. HopkinsJ. Hopkins,,12 Laps,Event cze,2002.0,cze,Hopkinsj
,ND,N. AokiN. Aoki,,11 Laps,Event cze,2002.0,cze,Aokin
,ND,P. RibaP. Riba,,,Event cze,2002.0,cze,Ribap
,ND,S. NakanoS. Nakano,,,Event cze,2002.0,cze,Nakanos
,,,,,,2002.0,ger,
1.0,ND,V. RossiV. Rossi,,43:32.783,Event ger,2002.0,ger,Rossi
2.0,ND,M. BiaggiM. Biaggi,,+0.730,Event ger,2002.0,ger,Biaggim
3.0,ND,T. UkawaT. Ukawa,,+1.100,Event ger,2002.0,ger,Ukawat
4.0,ND,C. ChecaC. Checa,,+2.330,Event ger,2002.0,ger,Checac
5.0,ND,S. NakanoS. Nakano,,+2.743,Event ger,2002.0,ger,Nakanos
6.0,ND,N. AbeN. Abe,,+2.780,Event ger,2002.0,ger,Aben
7.0,ND,J. McwilliamsJ. Mcwilliams,,+15.438,Event ger,2002.0,ger,Mcwilliamsj
8.0,ND,N. AokiN. Aoki,,+18.980,Event ger,2002.0,ger,Aokin
9.0,ND,G. MccoyG. Mccoy,,+19.269,Event ger,2002.0,ger,Mccoyg
10.0,ND,A. HofmannA. Hofmann,,+34.533,Event ger,2002.0,ger,Hofmanna
11.0,ND,A. RyoA. Ryo,,+34.592,Event ger,2002.0,ger,Ryoa
12.0,ND,J. GoorberghJ. Goorbergh,,+45.404,Event ger,2002.0,ger,Goorberghj
13.0,ND,J. CardosoJ. Cardoso,,+76.460,Event ger,2002.0,ger,Cardosoj
,ND,A. BarrosA. Barros,,27 Laps,Event ger,2002.0,ger,Barrosa
,ND,O. JacqueO. Jacque,,27 Laps,Event ger,2002.0,ger,Jacqueo
,ND,R. LaconiR. Laconi,,25 Laps,Event ger,2002.0,ger,Laconir
,ND,T. HaradaT. Harada,,16 Laps,Event ger,2002.0,ger,Haradat
,ND,S. GibernauS. Gibernau,,10 Laps,Event ger,2002.0,ger,Gibernaus
,ND,D. KatoD. Kato,,10 Laps,Event ger,2002.0,ger,Katod
,ND,Y. KagayamaY. Kagayama,,10 Laps,Event ger,2002.0,ger,Kagayamay
,,,,,,2002.0,ned,
1.0,ND,V. RossiV. Rossi,,38:49.425,Event ned,2002.0,ned,Rossi
2.0,ND,A. BarrosA. Barros,,+2.233,Event ned,2002.0,ned,Barrosa
3.0,ND,C. ChecaC. Checa,,+9.682,Event ned,2002.0,ned,Checac
4.0,ND,M. BiaggiM. Biaggi,,+13.308,Event ned,2002.0,ned,Biaggim
5.0,ND,T. UkawaT. Ukawa,,+32.386,Event ned,2002.0,ned,Ukawat
6.0,ND,K. JrK. Jr,,+33.278,Event ned,2002.0,ned,Jrk
7.0,ND,J. HopkinsJ. Hopkins,,+35.463,Event ned,2002.0,ned,Hopkinsj
8.0,ND,S. NakanoS. Nakano,,+35.619,Event ned,2002.0,ned,Nakanos
9.0,ND,N. AbeN. Abe,,+37.443,Event ned,2002.0,ned,Aben
10.0,ND,J. GoorberghJ. Goorbergh,,+48.100,Event ned,2002.0,ned,Goorberghj
11.0,ND,A. HofmannA. Hofmann,,+48.325,Event ned,2002.0,ned,Hofmanna
12.0,ND,D. KatoD. Kato,,+49.371,Event ned,2002.0,ned,Katod
13.0,ND,T. HaradaT. Harada,,+51.758,Event ned,2002.0,ned,Haradat
14.0,ND,O. JacqueO. Jacque,,+71.790,Event ned,2002.0,ned,Jacqueo
15.0,ND,A. RyoA. Ryo,,+194.399,Event ned,2002.0,ned,Ryoa
,ND,N. AokiN. Aoki,,11 Laps,Event ned,2002.0,ned,Aokin
,ND,J. McwilliamsJ. Mcwilliams,,8 Laps,Event ned,2002.0,ned,Mcwilliamsj
,ND,R. LaconiR. Laconi,,6 Laps,Event ned,2002.0,ned,Laconir
,ND,S. GibernauS. Gibernau,,6 Laps,Event ned,2002.0,ned,Gibernaus
,ND,L. CapirossiL. Capirossi,,4 Laps,Event ned,2002.0,ned,Capirossil
,ND,P. RibaP. Riba,,3 Laps,Event ned,2002.0,ned,Ribap
,,,,,,2002.0,ita,
1.0,ND,V. RossiV. Rossi,,43:40.837,Event ita,2002.0,ita,Rossi
2.0,ND,M. BiaggiM. Biaggi,,+2.404,Event ita,2002.0,ita,Biaggim
3.0,ND,T. UkawaT. Ukawa,,+11.289,Event ita,2002.0,ita,Ukawat
4.0,ND,C. ChecaC. Checa,,+11.408,Event ita,2002.0,ita,Checac
5.0,ND,A. BarrosA. Barros,,+15.371,Event ita,2002.0,ita,Barrosa
6.0,ND,L. CapirossiL. Capirossi,,+20.010,Event ita,2002.0,ita,Capirossil
7.0,ND,N. AbeN. Abe,,+26.447,Event ita,2002.0,ita,Aben
8.0,ND,R. LaconiR. Laconi,,+30.333,Event ita,2002.0,ita,Laconir
9.0,ND,O. JacqueO. Jacque,,+30.428,Event ita,2002.0,ita,Jacqueo
10.0,ND,T. HaradaT. Harada,,+30.759,Event ita,2002.0,ita,Haradat
11.0,ND,S. NakanoS. Nakano,,+34.162,Event ita,2002.0,ita,Nakanos
12.0,ND,J. HopkinsJ. Hopkins,,+37.715,Event ita,2002.0,ita,Hopkinsj
13.0,ND,J. BayleJ. Bayle,,+77.803,Event ita,2002.0,ita,Baylej
14.0,ND,J. GoorberghJ. Goorbergh,,+79.800,Event ita,2002.0,ita,Goorberghj
,ND,J. McwilliamsJ. Mcwilliams,,18 Laps,Event ita,2002.0,ita,Mcwilliamsj
,ND,S. GibernauS. Gibernau,,14 Laps,Event ita,2002.0,ita,Gibernaus
,ND,D. KatoD. Kato,,9 Laps,Event ita,2002.0,ita,Katod
,ND,N. AokiN. Aoki,,9 Laps,Event ita,2002.0,ita,Aokin
,ND,K. JrK. Jr,,8 Laps,Event ita,2002.0,ita,Jrk
,ND,P. RibaP. Riba,,1 Laps,Event ita,2002.0,ita,Ribap
,,,,,,2002.0,ara,
1.0,ND,A. BarrosA. Barros,,47:22.404,Event ara,2002.0,ara,Barrosa
2.0,ND,V. RossiV. Rossi,,+0.230,Event ara,2002.0,ara,Rossi
3.0,ND,M. BiaggiM. Biaggi,,+15.213,Event ara,2002.0,ara,Biaggim
4.0,ND,D. KatoD. Kato,,+22.504,Event ara,2002.0,ara,Katod
