Year,Event,Race Title,Conditions,Temperature,Track Conditions,Humidity,Ground Temp
2002,hun,Event hun,N/A,N/A,N/A,N/A,N/A
2002,aut,Event aut,N/A,N/A,N/A,N/A,N/A
2002,cze,Event cze,N/A,N/A,N/A,N/A,N/A
2002,ger,Event ger,N/A,N/A,N/A,N/A,N/A
2002,ned,Event ned,N/A,N/A,N/A,N/A,N/A
2002,ita,Event ita,N/A,N/A,N/A,N/A,N/A
2002,ara,Event ara,N/A,N/A,N/A,N/A,N/A
2002,gbr,Event gbr,N/A,N/A,N/A,N/A,N/A
2002,fra,Event fra,N/A,N/A,N/A,N/A,N/A
2002,esp,Event esp,N/A,N/A,N/A,N/A,N/A
2002,qat,Event qat,N/A,N/A,N/A,N/A,N/A
2002,usa,Event usa,N/A,N/A,N/A,N/A,N/A
2002,arg,Event arg,N/A,N/A,N/A,N/A,N/A
2002,tha,Event tha,N/A,N/A,N/A,N/A,N/A
2003,hun,Event hun,N/A,N/A,N/A,N/A,N/A
2003,aut,Event aut,N/A,N/A,N/A,N/A,N/A
2003,cze,Event cze,N/A,N/A,N/A,N/A,N/A
2003,ger,Event ger,N/A,N/A,N/A,N/A,N/A
2003,ned,Event ned,N/A,N/A,N/A,N/A,N/A
2003,ita,Event ita,N/A,N/A,N/A,N/A,N/A
2003,ara,Event ara,N/A,N/A,N/A,N/A,N/A
2003,gbr,Event gbr,N/A,N/A,N/A,N/A,N/A
2003,fra,Event fra,N/A,N/A,N/A,N/A,N/A
2003,esp,Event esp,N/A,N/A,N/A,N/A,N/A
2003,qat,Event qat,N/A,N/A,N/A,N/A,N/A
2003,usa,Event usa,N/A,N/A,N/A,N/A,N/A
2003,arg,Event arg,N/A,N/A,N/A,N/A,N/A
2003,tha,Event tha,N/A,N/A,N/A,N/A,N/A
2004,hun,Event hun,N/A,N/A,N/A,N/A,N/A
2004,aut,Event aut,N/A,N/A,N/A,N/A,N/A
2004,cze,Event cze,N/A,N/A,N/A,N/A,N/A
2004,ger,Event ger,N/A,N/A,N/A,N/A,N/A
2004,ned,Event ned,N/A,N/A,N/A,N/A,N/A
2004,ita,Event ita,N/A,N/A,N/A,N/A,N/A
2004,ara,Event ara,N/A,N/A,N/A,N/A,N/A
