Feature,PI_Mean,PI_Std
Team_Avg_Position,0.36313401747110374,0.030936300363041448
Podiums_Last5,0.19597763190825218,0.019818058885305995
Avg_Position_Last3,0.03087143963175438,0.01042881375903824
Race_Number_Season,0.010950441251638425,0.008032187298989621
Team,0.008710917467948316,0.006564811709734453
Rider_normalized,0.006600759524212521,0.006912284323215736
width_m,0.0027644011992343787,0.003731380466196086
left corners,0.0018857712984880592,0.0035304462579150496
Year,0.0008439920417861701,0.007105214119850656
Points_Streak,-0.012176007069914632,0.007229977881946634
length_km,-0.0027546788131230706,0.004514142237427495
Conditions,-0.006880850674570307,0.006232188885109142
right corners,-0.003744971147646008,0.004097900486017912
Rider_Experience,-0.005195060747942209,0.007501043274496263
Championship_Position,0.0,0.0
Event,-0.0033623942699768827,0.003958559678338114
Difficult_Conditions,0.0,0.0
Rider_Circuit_Avg,-0.003554082739521234,0.008237342194096895
