Rider,Team,Year,Conditions,Prob_podio
Dovizioso,Ducati Team,2020,Clear,0.02281151032926514
Dovizioso,JiR Team Scot MotoGP,2021,Clear,0.05681582819390558
Dovizioso,Ducati Team,2022,Partly Cloudy,0.12830073976876105
Dovizioso,Monster Yamaha Tech 3,2023,Clear,0.13588127445214493
Dovizioso,JiR Team Scot MotoGP,2024,Clear,0.05681582819390558
Dovizioso,Repsol Honda Team,2025,Sunny,0.3163862358475878
Dovizioso,Monster Yamaha Tech 3,2026,Clear,0.13588127445214493
Dovizioso,Ducati Team,2027,Clear,0.02281151032926514
Dovizioso,Ducati Team,2028,Clear,0.02281151032926514
Dovizioso,Monster Yamaha Tech 3,2029,Sunny,0.686354353476844
Dovizioso,Mission Winnow Ducati,2030,Partly Cloudy,0.6821108605705328
Lorenzo,Movistar Yamaha MotoGP,2020,Partly Cloudy,0.18538798440521595
Lorenzo,Fiat Yamaha Team,2021,Clear,0.16060333662359136
Lorenzo,Ducati Team,2022,Clear,0.2170988270712042
Lorenzo,Movistar Yamaha MotoGP,2023,Clear,0.1922381617707265
Lorenzo,Movistar Yamaha MotoGP,2024,Partly Cloudy,0.18538798440521595
Lorenzo,Movistar Yamaha MotoGP,2025,Partly Cloudy,0.18538798440521595
Lorenzo,Fiat Yamaha Team,2026,Clear,0.16060333662359136
Lorenzo,Repsol Honda Team,2027,Partly Cloudy,0.011637152865330657
Lorenzo,Repsol Honda Team,2028,Clear,0.01593135859881564
Lorenzo,Yamaha Factory Racing,2029,Clear,0.10028933029147531
Lorenzo,Fiat Yamaha Team,2030,Clear,0.16060333662359136
Rossi,Monster Energy Yamaha MotoGP,2020,Clear,0.0033103590984237693
Rossi,Petronas Yamaha SRT,2021,Clear,0.28134850924201615
Rossi,Monster Energy Yamaha MotoGP,2022,Sunny,0.23964099276681528
Rossi,Camel Yamaha Team,2023,Clear,0.025933291528372555
Rossi,Ducati Team,2024,Clear,0.0060335083913288035
Rossi,Monster Energy Yamaha MotoGP,2025,Clear,0.0033103590984237693
Rossi,Monster Energy Yamaha MotoGP,2026,Partly Cloudy,0.014635496657383298
Rossi,Ducati Team,2027,Sunny,0.1931610909666751
Rossi,Ducati Team,2028,Partly Cloudy,0.016550646715551138
Rossi,Movistar Yamaha MotoGP,2029,Partly Cloudy,0.33082529222915974
Rossi,Monster Energy Yamaha MotoGP,2030,Clear,0.0033103590984237693
