Rider_normalized,Team,Year,Conditions,Track Conditions,Humidity_num,GroundTemp_num,proba_podio
Rossi,,2002,,,,,0.8566666666666667
Biaggim,,2002,,,,,0.8133333333333334
Ukawat,,2002,,,,,0.12333333333333334
Checac,,2002,,,,,0.12666666666666668
Barrosa,,2002,,,,,0.34
Capirossil,,2002,,,,,0.6066666666666667
Aben,,2002,,,,,0.056666666666666664
Laconir,,2002,,,,,0.043333333333333335
Jacqueo,,2002,,,,,0.02
Haradat,,2002,,,,,0.03666666666666667
Nakanos,,2002,,,,,0.02666666666666667
Hopkinsj,,2002,,,,,0.03333333333333333
Baylej,,2002,,,,,0.04
Goorberghj,,2002,,,,,0.1
Rossi,,2003,,,,,0.9333333333333333
Capirossil,,2003,,,,,0.13333333333333333
Biaggim,,2003,,,,,0.82
Tamadam,,2003,,,,,0.043333333333333335
Nakanos,,2003,,,,,0.02
Ukawat,,2003,,,,,0.10333333333333333
Gibernaus,,2003,,,,,0.6882644017725258
Checac,,2003,,,,,0.03
Edwardsc,,2003,,,,,0.07333333333333333
Jacqueo,,2003,,,,,0.03666666666666667
Melandrim,,2003,,,,,0.04
Haydenn,,2003,,,,,0.05
Kiyonarir,,2003,,,,,0.043333333333333335
Hofmanna,,2003,,,,,0.013333333333333334
Mccoyg,,2003,,,,,0.03666666666666667
Pitta,,2003,,,,,0.03
Rossi,,2004,,,,,0.8433333333333334
Gibernaus,,2004,,,,,0.17
Biaggim,,2004,,,,,0.8233333333333334
Baylisst,,2004,,,,,0.5327548005908419
Xausr,,2004,,,,,0.16666666666666666
Barrosa,,2004,,,,,0.043333333333333335
Aben,,2004,,,,,0.016666666666666666
Capirossil,,2004,,,,,0.37666666666666665
Melandrim,,2004,,,,,0.07333333333333333
Byrnes,,2004,,,,,0.06333333333333334
Hodgsonn,,2004,,,,,0.03
Edwardsc,,2004,,,,,0.13666666666666666
Aokin,,2004,,,,,0.016666666666666666
Hofmanna,,2004,,,,,0.016666666666666666
Fabriziom,,2004,,,,,0.03666666666666667
Mcwilliamsj,,2004,,,,,0.013333333333333334
Pitta,,2004,,,,,0.03666666666666667
Rossi,,2005,Partly Cloudy,Dry,20.0,42.0,0.6333333333333333
Biaggi,,2005,Partly Cloudy,Dry,20.0,42.0,0.043333333333333335
Capirossi,,2005,Partly Cloudy,Dry,20.0,42.0,0.04666666666666667
Melandri,,2005,Partly Cloudy,Dry,20.0,42.0,0.2633333333333333
Checa,,2005,Partly Cloudy,Dry,20.0,42.0,0.02
Hayden,,2005,Partly Cloudy,Dry,20.0,42.0,0.05
Barros,,2005,Partly Cloudy,Dry,20.0,42.0,0.16333333333333333
Tamada,,2005,Partly Cloudy,Dry,20.0,42.0,0.09
Edwards,,2005,Partly Cloudy,Dry,20.0,42.0,0.13
Nakano,,2005,Partly Cloudy,Dry,20.0,42.0,0.16333333333333333
Hopkins,,2005,Partly Cloudy,Dry,20.0,42.0,0.16
Hofmann,,2005,Partly Cloudy,Dry,20.0,42.0,0.05
Bayliss,,2005,Partly Cloudy,Dry,20.0,42.0,0.043333333333333335
Xaus,,2005,Partly Cloudy,Dry,20.0,42.0,0.16
Jr,,2005,Partly Cloudy,Dry,20.0,42.0,0.16
Byrne,,2005,Partly Cloudy,Dry,20.0,42.0,0.16333333333333333
Rolfo,,2005,Partly Cloudy,Dry,20.0,42.0,0.08
Battaini,,2005,Partly Cloudy,Dry,20.0,42.0,0.09
Checa,,2005,Partly Cloudy,Dry,20.0,42.0,0.02
Rossi,Camel Yamaha Team,2006,Sunny,Dry,14.0,29.0,0.5166666666666667
Capirossiducati,Ducati Marlboro Team,2006,Sunny,Dry,14.0,29.0,0.17666666666666667
Haydenrepsol,Repsol Honda Team,2006,Sunny,Dry,14.0,29.0,0.5
Pedrosa,Repsol Honda Team,2006,Sunny,Dry,14.0,29.0,0.4
Gibernauducati,Ducati Marlboro Team,2006,Sunny,Dry,14.0,29.0,0.1
Melandrifortuna,Fortuna Honda,2006,Sunny,Dry,14.0,29.0,0.15
Eliasfortuna,Fortuna Honda,2006,Sunny,Dry,14.0,29.0,0.023333333333333334
Roberts,Team Roberts,2006,Sunny,Dry,14.0,29.0,0.023333333333333334
Tamadakonica,Konica Minolta Honda,2006,Sunny,Dry,14.0,29.0,0.013333333333333334
Hopkinsrizla,Rizla Suzuki MotoGP,2006,Sunny,Dry,14.0,29.0,0.05333333333333334
Nakanokawasaki,Kawasaki Racing Team,2006,Sunny,Dry,14.0,29.0,0.05
Edwardscamel,Camel Yamaha Team,2006,Sunny,Dry,14.0,29.0,0.05
Punietkawasaki,Kawasaki Racing Team,2006,Sunny,Dry,14.0,29.0,0.013333333333333334
Vermeulenrizla,Rizla Suzuki MotoGP,2006,Sunny,Dry,14.0,29.0,0.02666666666666667
Checatech,Tech 3 Yamaha,2006,Sunny,Dry,14.0,29.0,0.006666666666666667
Ellisontech,Tech 3 Yamaha,2006,Sunny,Dry,14.0,29.0,0.03
Cardosopramac,Pramac d'Antín MotoGP,2006,Sunny,Dry,14.0,29.0,0.04
Rossi,Fiat Yamaha Team,2007,Sunny,Dry,20.0,29.0,0.7733333333333333
Pedrosa,Repsol Honda Team,2007,Sunny,Dry,20.0,29.0,0.47333333333333333
Barrospramac,Pramac d'Antin,2007,Sunny,Dry,20.0,29.0,0.0
Stoner,Ducati Marlboro Team,2007,Sunny,Dry,20.0,29.0,0.6166666666666667
Hopkinsrizla,Rizla Suzuki MotoGP,2007,Sunny,Dry,20.0,29.0,0.11666666666666667
Eliashonda,Honda Gresini,2007,Sunny,Dry,20.0,29.0,0.03666666666666667
Capirossiducati,Ducati Marlboro Team,2007,Sunny,Dry,20.0,29.0,0.14333333333333334
Vermeulenrizla,Rizla Suzuki MotoGP,2007,Sunny,Dry,20.0,29.0,0.03333333333333333
Melandrihonda,Honda Gresini,2007,Sunny,Dry,20.0,29.0,0.03
Haydenrepsol,Repsol Honda Team,2007,Sunny,Dry,20.0,29.0,0.38666666666666666
Hofmannpramac,Pramac d'Antin,2007,Sunny,Dry,20.0,29.0,0.28
Edwardsfiat,Fiat Yamaha Team,2007,Sunny,Dry,20.0,29.0,0.26
Nakanokonica,Konica Minolta Honda,2007,Sunny,Dry,20.0,29.0,0.0
Guintolidunlop,Dunlop Yamaha Tech 3,2007,Sunny,Dry,20.0,29.0,0.03666666666666667
Tamadadunlop,Dunlop Yamaha Tech 3,2007,Sunny,Dry,20.0,29.0,0.03333333333333333
Jacquekawasaki,Kawasaki Racing Team,2007,Sunny,Dry,20.0,29.0,0.0
Roberts,Team Roberts,2007,Sunny,Dry,20.0,29.0,0.043333333333333335
Rossi,Fiat Yamaha Team,2008,Sunny,Dry,30.0,42.0,0.8466666666666667
Stoner,Ducati Marlboro Team,2008,Sunny,Dry,30.0,42.0,0.54
Pedrosa,Repsol Honda Team,2008,Sunny,Dry,30.0,42.0,0.44666666666666666
Angelissan,San Carlo Honda Gresini,2008,Sunny,Dry,30.0,42.0,0.013333333333333334
Edwardstech,Tech 3 Yamaha,2008,Sunny,Dry,30.0,42.0,0.043333333333333335
Toselandtech,Tech 3 Yamaha,2008,Sunny,Dry,30.0,42.0,0.0033333333333333335
Capirossirizla,Rizla Suzuki MotoGP,2008,Sunny,Dry,30.0,42.0,0.05
Dovizioso,JiR Team Scot MotoGP,2008,Sunny,Dry,30.0,42.0,0.1
Nakanosan,San Carlo Honda Gresini,2008,Sunny,Dry,30.0,42.0,0.03666666666666667
Vermeulenrizla,Rizla Suzuki MotoGP,2008,Sunny,Dry,30.0,42.0,0.03666666666666667
Guintolialice,Alice Team,2008,Sunny,Dry,30.0,42.0,0.016666666666666666
Eliasalice,Alice Team,2008,Sunny,Dry,30.0,42.0,0.10666666666666667
Haydenrepsol,Repsol Honda Team,2008,Sunny,Dry,30.0,42.0,0.3094214672575086
Okadarepsol,Repsol Honda Team,2008,Sunny,Dry,30.0,42.0,0.35333333333333333
Westkawasaki,Kawasaki Racing Team,2008,Sunny,Dry,30.0,42.0,0.01
Stoner,Ducati Marlboro Team,2009,Partly Cloudy,Wet,66.0,20.0,0.38666666666666666
Lorenzo,Fiat Yamaha Team,2009,Partly Cloudy,Wet,66.0,20.0,0.5233333333333333
Rossi,Fiat Yamaha Team,2009,Partly Cloudy,Wet,66.0,20.0,0.5433333333333333
Dovizioso,Repsol Honda Team,2009,Partly Cloudy,Wet,66.0,20.0,0.5933333333333334
Capirossirizla,Rizla Suzuki MotoGP,2009,Partly Cloudy,Wet,66.0,20.0,0.0033333333333333335
Edwardsmonster,Monster Yamaha Tech 3,2009,Partly Cloudy,Wet,66.0,20.0,0.04666666666666667
Toselandmonster,Monster Yamaha Tech 3,2009,Partly Cloudy,Wet,66.0,20.0,0.06333333333333334
Punietlcr,LCR Honda MotoGP,2009,Partly Cloudy,Wet,66.0,20.0,0.11666666666666667
Canepapramac,Pramac Racing,2009,Partly Cloudy,Wet,66.0,20.0,0.043333333333333335
Vermeulenrizla,Rizla Suzuki MotoGP,2009,Partly Cloudy,Wet,66.0,20.0,0.0033333333333333335
Melandrihayate,Hayate Racing Team,2009,Partly Cloudy,Wet,66.0,20.0,0.02
Haydenducati,Ducati Marlboro Team,2009,Partly Cloudy,Wet,66.0,20.0,0.16
Kalliopramac,Pramac Racing,2009,Partly Cloudy,Wet,66.0,20.0,0.03
Eliassan,San Carlo Honda Gresini,2009,Partly Cloudy,Wet,66.0,20.0,0.03
Angelissan,San Carlo Honda Gresini,2009,Partly Cloudy,Wet,66.0,20.0,0.01
Pedrosa,Repsol Honda Team,2010,,,,,0.55
Lorenzo,Fiat Yamaha Team,2010,,,,,0.9
Dovizioso,Repsol Honda Team,2010,,,,,0.8
Stoner,Ducati Marlboro Team,2010,,,,,0.7233333333333334
Melandrisan,San Carlo Honda Gresini,2010,,,,,0.0
Punietlcr,LCR Honda MotoGP,2010,,,,,0.01
Spiesmonster,Monster Yamaha Tech 3,2010,,,,,0.03
Espargaro,Pramac Racing Team,2010,,,,,0.0
Simoncellisan,San Carlo Honda Gresini,2010,,,,,0.0033333333333333335
Capirossirizla,Rizla Suzuki MotoGP,2010,,,,,0.023333333333333334
Aoyamainterwetten,Interwetten Honda MotoGP,2010,,,,,0.02
Barberapaginas,Paginas Amarillas Aspar,2010,,,,,0.02
Edwardsmonster,Monster Yamaha Tech 3,2010,,,,,0.0033333333333333335
Bautistarizla,Rizla Suzuki MotoGP,2010,,,,,0.006666666666666667
Lorenzo,Yamaha Factory Racing,2011,,,,,0.6533333333333333
Dovizioso,Repsol Honda Team,2011,,,,,0.7466666666666667
Stoner,Repsol Honda Team,2011,,,,,0.7666666666666667
Spiesyamaha,Yamaha Factory Racing,2011,,,,,0.36666666666666664
Simoncellisan,San Carlo Honda Gresini,2011,,,,,0.013333333333333334
Rossi,Ducati Team,2011,,,,,0.47
Barberamapfre,Mapfre Aspar Team MotoGP,2011,,,,,0.016666666666666666
Pedrosa,Repsol Honda Team,2011,,,,,0.5533333333333333
Edwardsmonster,Monster Yamaha Tech 3,2011,,,,,0.0033333333333333335
Haydenducati,Ducati Team,2011,,,,,0.03666666666666667
Aoyamasan,San Carlo Honda Gresini,2011,,,,,0.0
Abrahamcardion,Cardion AB Motoracing,2011,,,,,0.0033333333333333335
Bautistarizla,Rizla Suzuki MotoGP,2011,,,,,0.006666666666666667
Punietpramac,Pramac Racing Team,2011,,,,,0.0033333333333333335
Eliaslcr,LCR Honda MotoGP,2011,,,,,0.0033333333333333335
Lorenzo,Yamaha Factory Racing,2012,Partly Cloudy,Dry,43.0,45.0,0.6533333333333333
Pedrosa,Repsol Honda Team,2012,Partly Cloudy,Dry,43.0,45.0,0.6533333333333333
Dovizioso,Monster Yamaha Tech 3,2012,Partly Cloudy,Dry,43.0,45.0,0.31913467666813744
Bradllcr,LCR Honda MotoGP,2012,Partly Cloudy,Dry,43.0,45.0,0.05
Rossi,Ducati Team,2012,Partly Cloudy,Dry,43.0,45.0,0.20666666666666667
Crutchlow,Monster Yamaha Tech 3,2012,Partly Cloudy,Dry,43.0,45.0,0.4
Haydenducati,Ducati Team,2012,Partly Cloudy,Dry,43.0,45.0,0.04666666666666667
Stoner,Repsol Honda Team,2012,Partly Cloudy,Dry,43.0,45.0,0.6866666666666666
Barberapramac,Pramac Racing Team,2012,Partly Cloudy,Dry,43.0,45.0,0.03
Bautistasan,San Carlo Honda Gresini,2012,Partly Cloudy,Dry,43.0,45.0,0.03333333333333333
Spiesyamaha,Yamaha Factory Racing,2012,Partly Cloudy,Dry,43.0,45.0,0.20884293451501723
Punietpower,Power Electronics Aspar,2012,Partly Cloudy,Dry,43.0,45.0,0.013333333333333334
Espargaro,Power Electronics Aspar,2012,Partly Cloudy,Dry,43.0,45.0,0.0033333333333333335
Ellisonpaul,Paul Bird Motorsport,2012,Partly Cloudy,Dry,43.0,45.0,0.02666666666666667
Pasinispeed,Speed Master,2012,Partly Cloudy,Dry,43.0,45.0,0.02666666666666667
Silvaavintia,Avintia Blusens,2012,Partly Cloudy,Dry,43.0,45.0,0.023333333333333334
Lorenzo,Yamaha Factory Racing,2013,Partly Cloudy,Dry,62.0,42.0,0.7488429345150172
Pedrosa,Repsol Honda Team,2013,Partly Cloudy,Dry,62.0,42.0,0.74
Crutchlow,Monster Yamaha Tech 3,2013,Partly Cloudy,Dry,62.0,42.0,0.02
Bradllcr,LCR Honda MotoGP,2013,Partly Cloudy,Dry,62.0,42.0,0.056666666666666664
Dovizioso,Ducati Team,2013,Partly Cloudy,Dry,62.0,42.0,0.33
