Rider,Team,Year,Conditions,Prob_podio
Lorenzo,Yamaha Factory Racing,2012,Partly Cloudy,0.9857106988521257
Dovizioso,Monster Yamaha Tech 3,2012,Partly Cloudy,0.8673075935426291
Rossi,Ducati Team,2012,Partly Cloudy,0.015638227978055332
Lorenzo,Yamaha Factory Racing,2013,Partly Cloudy,0.9884086749905997
Dovizioso,Ducati Team,2013,Partly Cloudy,0.03439072704736416
Lorenzo,Movistar Yamaha MotoGP,2014,Partly Cloudy,0.9662483710173522
Rossi,Movistar Yamaha MotoGP,2014,Partly Cloudy,0.966598094639267
Lorenzo,Movistar Yamaha MotoGP,2016,Clear,0.9267903578505153
Dovizioso,Ducati Team,2016,Clear,0.4464636709125416
Dovizioso,Ducati Team,2017,Partly Cloudy,0.6958328827077574
Rossi,Movistar Yamaha MotoGP,2017,Partly Cloudy,0.3275464097459653
Lorenzo,Ducati Team,2018,Clear,0.8563728255183299
Dovizioso,Ducati Team,2018,Clear,0.9738806110716798
Rossi,Movistar Yamaha MotoGP,2018,Clear,0.9346356129261121
Dovizioso,Mission Winnow Ducati,2019,Partly Cloudy,0.9495049698370338
