Rider_normalized,Team,Year,Conditions,Track Conditions,proba_podio
Aben,,2002,,,0.04790796245344876
Aben,,2004,,,0.025171824525984536
Abrahamcardion,Cardion AB Motoracing,2011,,,0.010845319269970838
Abrahamcardion,Cardion AB Motoracing,2013,Partly Cloudy,Dry,0.005940755104175177
Abrahamcardion,Cardion AB Motoracing,2014,Partly Cloudy,Dry,0.007184972186147057
Abrahampull,Pull&Bear Aspar Team,2017,Partly Cloudy,Dry,0.007183178586533702
Abrahamreale,Reale Avintia Racing,2019,Partly Cloudy,Dry,0.006793313523709977
Acosta,Red Bull GASGAS Tech3,2024,,,0.12103300152692953
Acosta,Red Bull KTM Factory Racing,2025,Clear,Dry,0.7346377096343506
Aldeguer,BK8 Gresini Racing MotoGP,2025,Clear,Dry,0.041621507785618836
Alesmovistar,Movistar Yamaha MotoGP,2017,Partly Cloudy,Dry,0.7525857357230779
Alesmovistar,Movistar Yamaha MotoGP,2018,Clear,Dry,0.16193514215924035
Alesteam,Team SUZUKI ECSTAR,2016,Clear,Dry,0.19888561308427122
Angelissan,San Carlo Honda Gresini,2008,Sunny,Dry,0.028423022130811763
Angelissan,San Carlo Honda Gresini,2009,Partly Cloudy,Wet,0.018880556704286913
Aokin,,2004,,,0.019996529199928267
Aoyamadrive,Drive M7 Aspar,2014,Partly Cloudy,Dry,0.008409251923452155
Aoyamainterwetten,Interwetten Honda MotoGP,2010,,,0.007104164867838161
Aoyamasan,San Carlo Honda Gresini,2011,,,0.024444569501091633
Bagnaia,Ducati Lenovo Team,2023,Partly Cloudy,Dry,0.7252964210969802
Bagnaia,Ducati Lenovo Team,2024,,,0.9810705600153734
Bagnaia,Ducati Lenovo Team,2025,Clear,Dry,0.8593363874892669
Barberaavintia,Avintia Blusens,2013,Partly Cloudy,Dry,0.011834550619033227
Barberaavintia,Avintia Racing,2016,Clear,Dry,0.009587568140141457
Barberamapfre,Mapfre Aspar Team MotoGP,2011,,,0.02515332904848935
Barberapaginas,Paginas Amarillas Aspar,2010,,,0.009978319653076632
Barberapramac,Pramac Racing Team,2012,Partly Cloudy,Dry,0.03130690490066438
Barberareale,Reale Avintia Racing,2017,Partly Cloudy,Dry,0.005896729820674485
Barros,,2005,Partly Cloudy,Dry,0.02428252898183211
Barrosa,,2002,,,0.7657548145824681
Barrosa,,2004,,,0.09242708100401592
Barrospramac,Pramac d'Antin,2007,Sunny,Dry,0.03460966054806177
Bastianini,Ducati Lenovo Team,2023,Partly Cloudy,Dry,0.05132551167911868
Bastianini,Ducati Lenovo Team,2024,,,0.9704868718388961
Battaini,,2005,Partly Cloudy,Dry,0.019012823204002747
Bautistaangel,Angel Nieto Team,2018,Clear,Dry,0.058486161784955255
Bautistago,GO&FUN Honda Gresini,2014,Partly Cloudy,Dry,0.00790397559026668
Bautistapull,Pull&Bear Aspar Team,2017,Partly Cloudy,Dry,0.012445720979796928
Bautistarizla,Rizla Suzuki MotoGP,2010,,,0.00790397559026668
Bautistarizla,Rizla Suzuki MotoGP,2011,,,0.016744066024199786
Bautistasan,San Carlo Honda Gresini,2012,Partly Cloudy,Dry,0.020967428981428993
Baylej,,2002,,,0.02025390479912407
Bayliss,,2005,Partly Cloudy,Dry,0.027644198367129665
Baylisst,,2004,,,0.7950934037716259
Bazreale,Reale Avintia Racing,2017,Partly Cloudy,Dry,0.00785569450075167
Bezzecchi,Mooney VR46 Racing Team,2023,Partly Cloudy,Dry,0.1416521957107793
Bezzecchi,Pertamina Enduro VR46 Racing Team,2024,,,0.010458999504465723
Bezzecchi,Aprilia Racing,2025,Clear,Dry,0.05116851158902619
Biaggi,,2005,Partly Cloudy,Dry,0.0500541177622846
Biaggim,,2002,,,0.8337482826078413
Biaggim,,2003,,,0.10833479746643288
Biaggim,,2004,,,0.785508578260573
Binder,Red Bull KTM Factory Racing,2021,Clear,Dry,0.46492792385603604
Binder,Red Bull KTM Factory Racing,2023,Partly Cloudy,Dry,0.4704406333230102
Binder,Red Bull KTM Factory Racing,2024,,,0.012927404394295927
Binder,Red Bull KTM Factory Racing,2025,Clear,Dry,0.03400487379681974
Bradl,Repsol Honda Team,2020,Clear,Dry,0.04438330615371408
Bradlaprilia,Aprilia Racing Team Gresini,2016,Clear,Dry,0.007094509248854248
Bradllcr,LCR Honda MotoGP,2012,Partly Cloudy,Dry,0.1704637961084649
Bradllcr,LCR Honda MotoGP,2013,Partly Cloudy,Dry,0.18051648534464454
Byrne,,2005,Partly Cloudy,Dry,0.02915372987942478
Byrnes,,2004,,,0.01804849007815511
Canepapramac,Pramac Racing,2009,Partly Cloudy,Wet,0.00777043426960803
Capirossi,,2005,Partly Cloudy,Dry,0.04451881417639089
Capirossiducati,Ducati Marlboro Team,2006,Sunny,Dry,0.6218740812973074
Capirossiducati,Ducati Marlboro Team,2007,Sunny,Dry,0.14424016196588457
Capirossil,,2002,,,0.11416185605685701
Capirossil,,2003,,,0.30026817619088275
Capirossil,,2004,,,0.024222032557591464
Capirossirizla,Rizla Suzuki MotoGP,2008,Sunny,Dry,0.1261959233824389
Capirossirizla,Rizla Suzuki MotoGP,2009,Partly Cloudy,Wet,0.06522495370810183
Capirossirizla,Rizla Suzuki MotoGP,2010,,,0.006793313523709977
Cardosopramac,Pramac d'Antín MotoGP,2006,Sunny,Dry,0.005678094122150456
Chantra,IDEMITSU Honda LCR,2025,Clear,Dry,0.005909387630133187
Checa,,2005,Partly Cloudy,Dry,0.018639501352213515
Checa,,2005,Partly Cloudy,Dry,0.06301879749947187
Checac,,2002,,,0.08215410911301303
Checac,,2003,,,0.05328356052430051
Checatech,Tech 3 Yamaha,2006,Sunny,Dry,0.010488401250669077
Crutchlow,Monster Yamaha Tech 3,2012,Partly Cloudy,Dry,0.2639760701136961
Crutchlow,Monster Yamaha Tech 3,2013,Partly Cloudy,Dry,0.04961510426428103
Crutchlow,LCR Honda,2016,Clear,Dry,0.06569626895313942
Crutchlow,LCR Honda CASTROL,2018,Clear,Dry,0.06130141411918007
Crutchlow,LCR Honda CASTROL,2019,Partly Cloudy,Dry,0.06506881644336554
Crutchlow,LCR Honda CASTROL,2020,Clear,Dry,0.00742804750488461
Dovizioso,JiR Team Scot MotoGP,2008,Sunny,Dry,0.05872476051331173
Dovizioso,Repsol Honda Team,2009,Partly Cloudy,Wet,0.2514110943577102
Dovizioso,Repsol Honda Team,2010,,,0.9740684925522626
Dovizioso,Repsol Honda Team,2011,,,0.5858649687703628
Dovizioso,Monster Yamaha Tech 3,2012,Partly Cloudy,Dry,0.11744590919928781
Dovizioso,Ducati Team,2013,Partly Cloudy,Dry,0.06487050190786244
Dovizioso,Ducati Team,2014,Partly Cloudy,Dry,0.056928304283613444
Dovizioso,Ducati Team,2016,Clear,Dry,0.10503342041146788
Dovizioso,Ducati Team,2017,Partly Cloudy,Dry,0.07099629032024558
Dovizioso,Ducati Team,2018,Clear,Dry,0.9777425298604977
Dovizioso,Mission Winnow Ducati,2019,Partly Cloudy,Dry,0.29947564615358985
Dovizioso,Ducati Team,2020,Clear,Dry,0.010032904250522856
Edwards,,2005,Partly Cloudy,Dry,0.8698217069487622
Edwardsc,,2003,,,0.019996529199928267
Edwardsc,,2004,,,0.08390298874927588
Edwardscamel,Camel Yamaha Team,2006,Sunny,Dry,0.05361787406997289
Edwardsfiat,Fiat Yamaha Team,2007,Sunny,Dry,0.03241471665660925
Edwardsmonster,Monster Yamaha Tech 3,2009,Partly Cloudy,Wet,0.10804768903919794
Edwardsmonster,Monster Yamaha Tech 3,2010,,,0.008409251923452155
Edwardsmonster,Monster Yamaha Tech 3,2011,,,0.05494555533698207
Edwardsngm,NGM Mobile Forward Racing,2013,Partly Cloudy,Dry,0.006793313523709977
Edwardsngm,NGM Forward Racing,2014,Partly Cloudy,Dry,0.007184972186147057
Edwardstech,Tech 3 Yamaha,2008,Sunny,Dry,0.05345031910216864
Eliasalice,Alice Team,2008,Sunny,Dry,0.015901020456732706
Eliasfortuna,Fortuna Honda,2006,Sunny,Dry,0.05361787406997289
Eliashonda,Honda Gresini,2007,Sunny,Dry,0.0299588229177998
Eliaslcr,LCR Honda MotoGP,2011,,,0.008314959373284947
Eliassan,San Carlo Honda Gresini,2009,Partly Cloudy,Wet,0.01581284918195742
Ellisonpaul,Paul Bird Motorsport,2012,Partly Cloudy,Dry,0.008314959373284947
Ellisontech,Tech 3 Yamaha,2006,Sunny,Dry,0.007104164867838161
Espargaro,Pramac Racing Team,2010,,,0.030286962422482133
Espargaro,Power Electronics Aspar,2012,Partly Cloudy,Dry,0.008477319028688266
Espargaro,Power Electronics Aspar,2013,Partly Cloudy,Dry,0.030624530177680836
Espargaro,Monster Yamaha Tech 3,2014,Partly Cloudy,Dry,0.07778759556065146
Espargaro,NGM Forward Racing,2014,Partly Cloudy,Dry,0.02627988380311814
Espargaro,Team SUZUKI ECSTAR,2016,Clear,Dry,0.02696885013356611
Espargaro,Monster Yamaha Tech 3,2016,Clear,Dry,0.006694392413622743
Espargaro,Red Bull KTM Factory Racing,2018,Clear,Dry,0.01355917121289644
Espargaro,Red Bull KTM Factory Racing,2019,Partly Cloudy,Dry,0.011502553706352902
Espargaro,Aprilia Racing Team Gresini,2019,Partly Cloudy,Dry,0.010716437288549931
Espargaro,Red Bull KTM Factory Racing,2020,Clear,Dry,0.2658132969863656
Espargaro,Aprilia Racing Team Gresini,2020,Clear,Dry,0.09696782399783446
Espargaro,Aprilia Racing Team Gresini,2021,Clear,Dry,0.014347420255327554
Espargaro,Repsol Honda Team,2021,Clear,Dry,0.013604616322300837
Espargaro,Aprilia Racing,2023,Partly Cloudy,Dry,0.009143971930872928
Espargaro,Aprilia Racing,2024,,,0.017287868142163994
Espargaro,Red Bull KTM Factory Racing,2024,,,0.014364098461506918
Fabriziom,,2004,,,0.019996529199928267
Fernandez,GASGAS Factory Racing Tech3,2023,Partly Cloudy,Dry,0.009428828675777155
