Rider_normalized,proba_podio,Years,Year_Range
Edwards,0.8698217069487622,2005,2005
Bagnaia,0.8552344562005402,"2023,2024,2025",2023–2025
Baylisst,0.7950934037716259,2004,2004
Martin,0.7612045814162278,"2023,2024",2023–2024
Lorenzo,0.7328593039866089,"2009,2010,2011,2012,2013,2014,2016,2017,2018,2019",2009–2019
Stoner,0.6795147576207917,"2007,2008,2009,2010,2011,2012",2007–2012
Gibernaus,0.6579475900474152,"2003,2004",2003–2004
Pedrosa,0.6111287703373839,"2006,2007,2008,2010,2011,2012,2013,2014,2016",2006–2016
Biaggim,0.5758638861116158,"2002,2003,2004",2002–2004
Bastianini,0.5109061917590074,"2023,2024",2023–2024
Rossi,0.5104096089559119,"2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2014,2017,2018,2020,2021",2002–2021
Iannoneducati,0.49347807172452546,2016,2016
Marquez,0.48681587040810315,"2014,2016,2017,2018,2019,2020,2021,2024,2025",2014–2025
Alesmovistar,0.4572604389411591,"2017,2018",2017–2018
Spiesyamaha,0.4324529875600868,"2011,2012",2011–2012
Barrosa,0.429090947793242,"2002,2004",2002–2004
Acosta,0.42783535558064006,"2024,2025",2024–2025
Melandrifortuna,0.3851419576819576,2006,2006
Capirossiducati,0.383057121631596,"2006,2007",2006–2007
Gibernauducati,0.30660864669898624,2006,2006
