Rider,Team,Year,Conditions,Prob_podio
Bagnaia,Ducati Lenovo Team,2020,Partly Cloudy,0.14
Bagnaia,Ducati Lenovo Team,2021,Clear,0.18
Bagnaia,Ducati Lenovo Team,2022,Clear,0.18
Bagnaia,Ducati Lenovo Team,2023,Partly Cloudy,0.14
Bagnaia,Ducati Lenovo Team,2024,Partly Cloudy,0.14
Bagnaia,Ducati Lenovo Team,2025,Clear,0.18
Bagnaia,Ducati Lenovo Team,2026,Partly Cloudy,0.14
Bagnaia,Ducati Lenovo Team,2027,Clear,0.18
Bagnaia,Ducati Lenovo Team,2028,Partly Cloudy,0.14
Bagnaia,Ducati Lenovo Team,2029,Partly Cloudy,0.14
Bagnaia,Ducati Lenovo Team,2030,Clear,0.18
Marquez,BK8 Gresini Racing MotoGP,2020,Clear,0.05
Marquez,Ducati Lenovo Team,2021,Clear,0.11
Marquez,Ducati Lenovo Team,2022,Clear,0.11
Marquez,Repsol Honda Team,2023,Clear,0.0
Marquez,Gresini Racing MotoGP,2024,Clear,0.06
Marquez,LCR Honda CASTROL,2025,Partly Cloudy,0.11
Marquez,BK8 Gresini Racing MotoGP,2026,Clear,0.05
Marquez,Ducati Lenovo Team,2027,Partly Cloudy,0.07
Marquez,BK8 Gresini Racing MotoGP,2028,Clear,0.05
Marquez,Gresini Racing MotoGP,2029,Partly Cloudy,0.12
Marquez,LCR Honda CASTROL,2030,Partly Cloudy,0.11
Oliveira,Trackhouse Racing,2020,Clear,0.5
Oliveira,Red Bull KTM Tech 3,2021,Clear,0.99
Oliveira,Prima Pramac Yamaha MotoGP,2022,Partly Cloudy,0.27
Oliveira,Trackhouse Racing,2023,Partly Cloudy,0.24
Oliveira,Prima Pramac Yamaha MotoGP,2024,Clear,0.83
Oliveira,Red Bull KTM Factory Racing,2025,Partly Cloudy,0.25
Oliveira,Prima Pramac Yamaha MotoGP,2026,Partly Cloudy,0.27
Oliveira,Prima Pramac Yamaha MotoGP,2027,Clear,0.83
Oliveira,Prima Pramac Yamaha MotoGP,2028,Clear,0.83
Oliveira,Red Bull KTM Tech 3,2029,Partly Cloudy,0.22
Oliveira,Red Bull KTM Factory Racing,2030,Partly Cloudy,0.25
