Position,Points,Rider,Team,Time/Gap,Grand Prix,Year,Event,Rider_normalized,Race Title,Conditions,Temperature,Track Conditions,Humidity,Ground Temp,Avg_Position_Last3,Podiums_Last5,Points_Streak,circuit_file,file,length_km,width_m,right corners,left corners,Race_Number_Season,Rider_Experience,Points_numeric,Season_Points_So_Far,Championship_Position,Team_Avg_Position,Difficult_Conditions,Rider_Circuit_Avg,Podio
10,ND,N. AbeN. Abe,,+68.312,Event ara,2002.0,ara,Aben,Event ara,,,,,,,,0.0,,,,,,,1,1.0,0.0,0.0,1.0,,0,,0
10,ND,N. AbeN. Abe,,+68.312,Event arg,2002.0,arg,Aben,Event arg,,,,,,10.0,0.0,1.0,arg_circuit_information.pdf,arg_circuit_information.pdf,4.806,16.0,9.0,5.0,2,1.0,0.0,0.0,1.0,,0,,0
10,ND,N. AbeN. Abe,,+68.312,Event aut,2002.0,aut,Aben,Event aut,,,,,,10.0,0.0,2.0,aut_circuit_information.pdf,aut_circuit_information.pdf,4.348,12.0,8.0,3.0,3,1.0,0.0,0.0,1.0,,0,,0
8,ND,N. AbeN. Abe,,+26.572,Event cze,2002.0,cze,Aben,Event cze,,,,,,10.0,0.0,3.0,cze_circuit_information.pdf,cze_circuit_information.pdf,5.403,15.0,8.0,6.0,4,1.0,0.0,0.0,1.0,,0,,0
10,ND,N. AbeN. Abe,,+68.312,Event esp,2002.0,esp,Aben,Event esp,,,,,,9.333333333333334,0.0,4.0,esp_circuit_information.pdf,esp_circuit_information.pdf,4.075,12.0,7.0,10.0,5,1.0,0.0,0.0,1.0,,0,,0
4,ND,N. AbeN. Abe,,+1.701,Event fra,2002.0,fra,Aben,Event fra,,,,,,9.333333333333334,0.0,5.0,,,,,,,6,1.0,0.0,0.0,1.0,,0,,0
4,ND,N. AbeN. Abe,,+22.036,Event gbr,2002.0,gbr,Aben,Event gbr,,,,,,7.333333333333333,0.0,6.0,,,,,,,7,1.0,0.0,0.0,1.0,,0,,0
6,ND,N. AbeN. Abe,,+2.780,Event ger,2002.0,ger,Aben,Event ger,,,,,,6.0,0.0,7.0,ger_circuit_information.pdf,ger_circuit_information.pdf,3.671,12.0,3.0,10.0,8,1.0,0.0,0.0,1.0,,0,,0
10,ND,N. AbeN. Abe,,+68.312,Event hun,2002.0,hun,Aben,Event hun,,,,,,4.666666666666667,0.0,8.0,hun_circuit_information.pdf,hun_circuit_information.pdf,4.075,12.0,7.0,10.0,9,1.0,0.0,0.0,1.0,,0,,0
7,ND,N. AbeN. Abe,,+26.447,Event ita,2002.0,ita,Aben,Event ita,,,,,,6.666666666666667,0.0,9.0,ita_circuit_information.pdf,ita_circuit_information.pdf,5.245,14.0,9.0,6.0,10,1.0,0.0,0.0,1.0,,0,,0
9,ND,N. AbeN. Abe,,+37.443,Event ned,2002.0,ned,Aben,Event ned,,,,,,7.666666666666667,0.0,10.0,,,,,,,11,1.0,0.0,0.0,1.0,,0,,0
10,ND,N. AbeN. Abe,,+68.312,Event qat,2002.0,qat,Aben,Event qat,,,,,,8.666666666666666,0.0,11.0,qat_circuit_information.pdf,qat_circuit_information.pdf,5.38,12.0,10.0,6.0,12,1.0,0.0,0.0,1.0,,0,,0
10,ND,N. AbeN. Abe,,+68.312,Event tha,2002.0,tha,Aben,Event tha,,,,,,8.666666666666666,0.0,12.0,,,,,,,13,1.0,0.0,0.0,1.0,,0,,0
10,ND,N. AbeN. Abe,,+68.312,Event usa,2002.0,usa,Aben,Event usa,,,,,,9.666666666666666,0.0,13.0,usa_circuit_information.pdf,usa_circuit_information.pdf,4.075,12.0,7.0,10.0,14,1.0,0.0,0.0,1.0,,0,,0
9,ND,N. AbeN. Abe,,+40.229,Event ara,2003.0,ara,Aben,Event ara,,,,,,10.0,0.0,14.0,,,,,,,1,2.0,0.0,0.0,1.0,,0,10.0,0
9,ND,N. AbeN. Abe,,+40.229,Event arg,2003.0,arg,Aben,Event arg,,,,,,9.666666666666666,0.0,15.0,arg_circuit_information.pdf,arg_circuit_information.pdf,4.806,16.0,9.0,5.0,2,2.0,0.0,0.0,1.0,,0,10.0,0
9,ND,N. AbeN. Abe,,+40.229,Event aut,2003.0,aut,Aben,Event aut,,,,,,9.333333333333334,0.0,16.0,aut_circuit_information.pdf,aut_circuit_information.pdf,4.348,12.0,8.0,3.0,3,2.0,0.0,0.0,1.0,,0,10.0,0
9,ND,N. AbeN. Abe,,+40.229,Event esp,2003.0,esp,Aben,Event esp,,,,,,9.0,0.0,17.0,esp_circuit_information.pdf,esp_circuit_information.pdf,4.075,12.0,7.0,10.0,4,2.0,0.0,0.0,1.0,,0,10.0,0
11,ND,N. AbeN. Abe,,+0.000,Event fra,2003.0,fra,Aben,Event fra,,,,,,9.0,0.0,18.0,,,,,,,5,2.0,0.0,0.0,1.0,,0,4.0,0
